,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
DYNC1H1,8.745355511378136,21.117597074854018,8.745355511378136,0.156,False,0.9999999994762208,False,0.9417774688737592
HSPA9,5.023303595976756,17.28532722644468,5.023303595976756,0.614,False,0.9999999999984982,False,0.7009894266311815
PPP1R37,5.424655592338979,18.779891378901823,5.424655592338979,0.546,False,0.9999999999984982,False,0.7343721703371953
BNIP1,7.581568423293476,20.86748041672871,7.581568423293476,0.283,False,0.9999999999974942,False,0.8797590588141331
COG4,15.044790644208973,27.799636233182184,15.044790644208971,0.018,True,0.9591095537185657,False,1.177386148693088
RELN,7.3264030931137825,17.006059882421084,7.3264030931137825,0.251,False,0.9999999999949492,False,0.8648908095372425
AKAP9,6.175579159902298,20.793172687743038,6.175579159902298,0.401,False,0.9999999999984982,False,0.7906776929689504
PGBD1,8.480620693009826,26.303722802026755,8.480620693009826,0.194,False,0.9999999999502428,False,0.9284276392477824
DAP,7.652000628827693,26.043813661766137,7.652000628827693,0.255,False,0.999999999995282,False,0.8837749970448017
APEX1,4.812697488605522,19.2071358893906,4.812697488605522,0.603,False,0.9999999999984982,False,0.682388564116941
VPS13A,6.767977641047196,18.323694508020424,6.767977641047196,0.344,False,0.9999999999984982,False,0.8304589152812827
TRIM26,8.072321230259377,22.379938493867712,8.072321230259377,0.223,False,0.999999999974275,False,0.9069984359039318
SOD2,4.775174831982525,21.722760206638497,4.775174831982525,0.667,False,0.9999999999984982,False,0.6789892768988813
PRRC2C,8.649750135827645,20.98953043801305,8.649750135827645,0.126,False,0.9999999854610858,False,0.937003562239544
NDUFAF6,6.123009494448667,20.640552679631412,6.123009494448667,0.383,False,0.9999999999984982,False,0.786964932861091
YARS,7.007821210612718,21.39623485221,7.007821210612718,0.325,False,0.9999999999983328,False,0.8455830132178423
ARID1B,8.551345760992149,25.000960576157183,8.551345760992149,0.21,False,0.999999999974275,False,0.932034466842939
VAPB,10.02410925349102,23.641631602168843,10.02410925349102,0.077,False,0.9999944351065304,False,1.0010457914188258
TRPM7,5.090067393233795,16.814146306912846,5.090067393233795,0.577,False,0.9999999999984982,False,0.7067235324970327
SCAPER,10.387491622688259,23.478270786337305,10.38749162268826,0.083,False,0.999997304361322,False,1.0165106865421814
POLG,8.031388345081439,23.231368385012388,8.031388345081439,0.211,False,0.999999999974275,False,0.90479062603713
NDUFAF2,10.691403639964761,26.370188211966138,10.69140363996476,0.093,False,0.9999990444910428,False,1.029034726076296
EPC2,5.915505382488618,18.727055168043364,5.915505382488618,0.426,False,0.9999999999984982,False,0.771991853858304
XIAP,5.970982978841988,20.00661478712624,5.970982978841988,0.429,False,0.9999999999984982,False,0.7760458331637701
KIFAP3,5.068497030172068,22.785919115398144,5.068497030172068,0.687,False,0.9999999999984982,False,0.7048791963607619
COX15,15.945538182896826,27.253093091414428,15.945538182896826,0.026,True,0.9892318627322336,False,1.202639181836611
ATP5H,5.920201953312471,17.056120217534612,5.920201953312471,0.475,False,0.9999999999984982,False,0.7723365218771819
ATXN7,12.249343882956765,22.777035849764445,12.249343882956763,0.046,True,0.9996157812315726,False,1.0881128270154392
CALB1,6.939393385701976,18.828258828947696,6.939393385701976,0.267,False,0.9999999999974942,False,0.8413215078097851
SCO2,7.356709649340928,20.056737589139118,7.356709649340928,0.214,False,0.999999999974275,False,0.8666836158797429
FAM171A2,8.103245883930839,15.70994797392376,8.103245883930839,0.229,False,0.999999999974275,False,0.9086590172872422
SEC24B,10.089688666084584,25.62037628255655,10.089688666084584,0.098,False,0.99999951680571,False,1.0038777655741211
NDUFS8,9.913001230962095,23.345956726875954,9.913001230962095,0.101,False,0.9999996262362736,False,0.9962051601075096
SOD1,13.079205449084895,27.492832054486087,13.079205449084895,0.036,True,0.9979628700700106,False,1.1165813617589564
MTA1,6.660879021901536,20.44362410505545,6.660879021901536,0.374,False,0.9999999999984982,False,0.8235315458625758
PDS5B,6.29884138714354,20.4937778326356,6.29884138714354,0.406,False,0.9999999999984982,False,0.7992606723988305
ELP3,8.409863260667265,21.635262414587885,8.409863260667265,0.217,False,0.999999999974275,False,0.9247889344875142
WDR66,6.85194596088246,16.343681471099046,6.85194596088246,0.287,False,0.9999999999974942,False,0.8358139291645907
CELF1,7.941936126261055,19.785826053170695,7.941936126261055,0.268,False,0.9999999999974942,False,0.8999263898892955
BCS1L,11.84456240335993,24.21598368002077,11.84456240335993,0.054,False,0.9998887893523588,False,1.0735190203718563
CDC42EP3,12.000768004225137,25.690081168289055,12.000768004225137,0.06,False,0.9999556685146151,False,1.0792090401579726
